ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
86	\"false\"	false	true	true	     yes	2861	4	40	685	1	6	24	39	23	66	0	<S:4> = <init>{2819} -> [86]<S:4>.isEmpty(){2861}
88	\"false\"	false	true	true	     yes	195	6	40	34	1	30	69	39	76	90	0	<S:6> = <init>{126} -> [88]<S:6>.equals(\"BB\"){195}
90	\"true\"	false	true	false	     yes	664	8	40	31	40	28	858	0	8	171	0	<S:8> = <init>{125} -> [90]<S:8>.contains(\"\"){664}
91	\"false\"	false	true	true	     yes	182	5	40	27	1	4	7	39	22	47	0	<S:5> = <init>{137} -> [91]<S:5>.isEmpty(){182}
93	\"false\"	false	true	true	     yes	198	7	40	26	1	4	8	39	22	53	0	<S:7> = <init>{146} -> [93]<S:7>.equals(\"\"){198}
94	\"false\"	false	false	true	     yes	1153	17	40	296	0	8	2	40	299	101	0	<S:8> = <init>{125} -> [17]<S:8>.concat(\"B\"){900} -> [94]<S:17>.isEmpty(){1153}
96	\"false\"	false	false	true	     yes	504	33	9	16	0	6	4	9	16	55	0	<S:7> = <init>{146} -> [33]<S:7>.delete(2, 3){304} -> [96]<S:33>.equals(\"\"){504}
98	\"true\"	false	true	false	     yes	772	18	3	13	3	13	291	0	7	127	0	<S:8> = <init>{125} -> [18]<S:8>.delete(1, 3){377} -> [98]<S:18>.contains(\"\"){772}
99	\"false\"	false	true	true	     yes	553	31	40	26	1	4	3	39	24	43	0	<S:5> = <init>{137} -> [31]<S:5>.delete(0, 0){376} -> [99]<S:31>.isEmpty(){553}
101	\"false\"	false	true	true	     yes	3314	13	13	24	1	4	5	12	17	45	0	<S:4> = <init>{2819} -> [13]<S:4>.delete(0, 1){453} -> [101]<S:13>.equals(\"\"){3314}
