ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
69	\"false\"	false	true	true	     yes	853	6	40	12	1	2	85	39	10	455	0	<S:6> = <init>{567} -> [69]<S:6>.isEmpty(){853}
71	\"false\"	false	true	true	     yes	2580	4	40	7	1	4	81	39	15	387	0	<S:4> = <init>{2183} -> [71]<S:4>.equals(\"A\"){2580}
73	\"true\"	false	true	false	     yes	1218	5	40	8	40	10	973	0	2	659	0	<S:5> = <init>{241} -> [73]<S:5>.contains(\"\"){1218}
74	\"false\"	false	true	true	     yes	9720	8	40	8	1	2	45	39	10	266	0	<S:8> = <init>{173} -> [74]<S:8>.isEmpty(){9720}
76	\"false\"	false	true	true	     yes	567	7	40	8	1	5	99	39	16	362	0	<S:7> = <init>{207} -> [76]<S:7>.equals(\"B\"){567}
77	\"false\"	false	true	true	     yes	929	27	40	9	1	2	21	39	9	222	0	<S:7> = <init>{207} -> [27]<S:7>.replace('A', 'B'){508} -> [77]<S:27>.isEmpty(){929}
79	\"false\"	false	true	true	     yes	4837	10	40	32	1	4	76	39	20	541	0	<S:6> = <init>{567} -> [10]<S:6>.concat(\"A\"){3757} -> [79]<S:10>.equals(\"A\"){4837}
81	\"false\"	false	true	true	     yes	14769	28	40	31	25	36	16376	15	34	16643	0	<S:6> = <init>{567} -> [28]<S:6>.concat(\"B\"){1160} -> [81]<S:28>.contains(\"A\"){14769}
82	\"false\"	false	true	true	     yes	11808	21	40	10	1	16	33	39	10	247	0	<S:6> = <init>{567} -> [21]<S:6>.replace('C', 'A'){11040} -> [82]<S:21>.isEmpty(){11808}
84	\"false\"	false	true	true	     yes	3718	11	40	7	1	2	32	39	9	252	0	<S:4> = <init>{2183} -> [11]<S:4>.replace('A', 'C'){1285} -> [84]<S:11>.equals(\"\"){3718}
86	\"true\"	false	true	true	     yes	3454	13	40	4	14	11	3262	26	9	2019	0	<S:6> = <init>{567} -> [13]<S:6>.replace('A', 'C'){1136} -> [86]<S:13>.contains(\"BC\"){3454}
87	\"false\"	false	true	true	     yes	8990	20	1600	7	1	1	21	1599	10	421	0	<S:4> = <init>{2183} -> [20]<S:4>.concat(<CS:6>){6374} -> [87]<S:20>.isEmpty(){8990}
89	\"false\"	false	false	true	     yes	2740	22	40	15	0	1	33	40	15	615	0	<S:8> = <init>{173} -> [22]<S:8>.concat(\"A\"){1970} -> [89]<S:22>.equals(\"B\"){2740}
91	\"true\"	false	true	true	     yes	177323	12	1600	7	1375	32	299506	225	25	205904	0	<S:5> = <init>{241} -> [12]<S:5>.concat(<CS:4>){3440} -> [91]<S:12>.contains(\"B\"){177323}
92	\"false\"	false	true	true	     yes	1123	23	40	3	1	1	21	39	5	206	0	<S:5> = <init>{241} -> [23]<S:5>.replace('C', 'A'){732} -> [92]<S:23>.isEmpty(){1123}
94	\"false\"	false	true	true	     yes	2757	16	1600	7	1	1	27	1599	10	386	0	<S:5> = <init>{241} -> [16]<S:5>.concat(<CS:8>){2130} -> [94]<S:16>.equals(\"\"){2757}
96	\"false\"	false	false	true	     yes	8449	9	40	3	0	3	1745	40	11	6942	0	<S:4> = <init>{2183} -> [9]<S:4>.replace('A', 'B'){4369} -> [96]<S:9>.contains(\"A\"){8449}
97	\"false\"	false	true	true	     yes	10925	19	40	3	1	1	17	39	33	6645	0	<S:7> = <init>{207} -> [19]<S:7>.replace('B', 'C'){10171} -> [97]<S:19>.isEmpty(){10925}
99	\"false\"	false	false	true	     yes	10184	18	40	15	0	1	22	40	134	787	0	<S:4> = <init>{2183} -> [18]<S:4>.concat(\"A\"){1864} -> [99]<S:18>.equals(\"\"){10184}
101	\"false\"	false	true	true	     yes	5975	14	40	122	19	20	20621	21	21	3071	0	<S:8> = <init>{173} -> [14]<S:8>.concat(\"B\"){2932} -> [101]<S:14>.contains(\"AB\"){5975}
102	\"false\"	false	true	true	     yes	1647	15	40	16	1	12	70	39	42	230	0	<S:8> = <init>{173} -> [15]<S:8>.replace('B', 'C'){923} -> [102]<S:15>.isEmpty(){1647}
104	\"false\"	false	true	true	     yes	3554	25	40	14	1	13	217	39	29	824	0	<S:4> = <init>{2183} -> [25]<S:4>.replace('A', 'C'){565} -> [104]<S:25>.equals(\"B\"){3554}
106	\"true\"	false	true	false	     yes	3767	24	1600	28	1600	11	1845	0	1	1330	0	<S:6> = <init>{567} -> [24]<S:6>.concat(<CS:7>){1549} -> [106]<S:24>.contains(\"\"){3767}
107	\"false\"	false	true	true	     yes	1981	26	1600	7	1	1	21	1599	9	321	0	<S:8> = <init>{173} -> [26]<S:8>.concat(<CS:5>){1498} -> [107]<S:26>.isEmpty(){1981}
109	\"false\"	false	false	true	     yes	1251	17	40	3	0	1	20	40	5	301	0	<S:7> = <init>{207} -> [17]<S:7>.replace('A', 'C'){757} -> [109]<S:17>.equals(\"AC\"){1251}
110	\"false\"	false	true	true	     yes	1338	47	40	3	1	1	15	39	5	152	0	<S:5> = <init>{241} -> [23]<S:5>.replace('C', 'A'){732} -> [47]<S:23>.replace('C', 'A'){224} -> [110]<S:47>.isEmpty(){1338}
112	\"false\"	false	false	true	     yes	10879	30	40	23	0	1	26	40	23	598	0	<S:8> = <init>{173} -> [22]<S:8>.concat(\"A\"){1970} -> [30]<S:22>.concat(\"B\"){8175} -> [112]<S:30>.equals(\"A\"){10879}
114	\"true\"	false	true	false	     yes	5840	39	1600	5	1600	9	1740	0	4	12413	0	<S:5> = <init>{241} -> [12]<S:5>.concat(<CS:4>){3440} -> [39]<S:12>.replace('A', 'C'){578} -> [114]<S:39>.contains(\"\"){5840}
115	\"false\"	false	false	true	     yes	11226	40	1600	95	0	3	14	1600	96	544	0	<S:4> = <init>{2183} -> [20]<S:4>.concat(<CS:6>){6374} -> [40]<S:20>.concat(\"B\"){2174} -> [115]<S:40>.isEmpty(){11226}
117	\"false\"	false	true	true	     yes	64934	32	64000	90	3	2	65	63997	115	18445	0	<S:8> = <init>{173} -> [15]<S:8>.replace('B', 'C'){923} -> [32]<S:15>.concat(<CS:26>){48164} -> [117]<S:32>.equals(\"A\"){64934}
119	\"true\"	false	true	true	     yes	3306	35	40	3	36	10	2028	4	5	1779	0	<S:5> = <init>{241} -> [23]<S:5>.replace('C', 'A'){732} -> [35]<S:23>.replace('C', 'B'){434} -> [119]<S:35>.contains(\"A\"){3306}
